vote_2020,gender,race_ethnicity,household_income,state,age,vote_trump
Donald Trump,male,White,"$200,000 and above",new york,42,1
Donald Trump,female,Some other race,"Less than $49,999",florida,29,1
Donald Trump,male,White,"$50,000 to $99,999",texas,84,1
Donald Trump,female,White,"$50,000 to $99,999",california,45,1
Joe Biden,female,White,"Less than $49,999",oregon,26,0
Donald Trump,male,Asian or Pacific Islander,"$100,000 to $149,999",new jersey,30,1
Donald Trump,female,White,"Less than $49,999",iowa,31,1
Joe Biden,female,Some other race,"$50,000 to $99,999",california,29,0
Joe Biden,female,Some other race,"Less than $49,999",new jersey,39,0
Joe Biden,female,White,"Less than $49,999",california,66,0
Donald Trump,male,White,"Less than $49,999",south carolina,52,1
Donald Trump,male,White,"Less than $49,999",texas,72,1
Donald Trump,female,White,"Less than $49,999",texas,62,1
Donald Trump,male,White,"$50,000 to $99,999",new york,25,1
Donald Trump,male,White,"Less than $49,999",arizona,64,1
Donald Trump,male,White,"$150,000 to $199,999",indiana,35,1
Joe Biden,female,Some other race,"Less than $49,999",new jersey,29,0
Donald Trump,female,White,"$100,000 to $149,999",california,31,1
Joe Biden,female,White,"$50,000 to $99,999",north carolina,73,0
Donald Trump,male,White,"Less than $49,999",texas,42,1
Donald Trump,male,White,"$200,000 and above",california,51,1
Joe Biden,female,White,"Less than $49,999",louisiana,34,0
Joe Biden,male,White,"$50,000 to $99,999",new jersey,72,0
Donald Trump,male,White,"Less than $49,999",montana,71,1
Donald Trump,male,White,"Less than $49,999",ohio,40,1
Donald Trump,male,White,"Less than $49,999",california,20,1
Donald Trump,male,White,"$50,000 to $99,999",minnesota,68,1
Joe Biden,male,"Black, or African American","Less than $49,999",kansas,22,0
Donald Trump,male,White,"$100,000 to $149,999",maryland,40,1
Joe Biden,female,Asian or Pacific Islander,"Less than $49,999",alabama,34,0
Joe Biden,female,White,"$100,000 to $149,999",minnesota,49,0
Joe Biden,male,"Black, or African American","Less than $49,999",california,43,0
Joe Biden,female,White,"Less than $49,999",texas,50,0
Joe Biden,female,"Black, or African American","$50,000 to $99,999",maryland,60,0
Donald Trump,male,White,"Less than $49,999",alabama,37,1
Joe Biden,male,White,"Less than $49,999",florida,63,0
Joe Biden,female,Asian or Pacific Islander,"Less than $49,999",california,23,0
Joe Biden,male,Some other race,"$50,000 to $99,999",texas,30,0
Donald Trump,female,White,"$50,000 to $99,999",arkansas,28,1
Joe Biden,female,Asian or Pacific Islander,"$100,000 to $149,999",california,18,0
Donald Trump,female,White,"$100,000 to $149,999",illinois,45,1
Joe Biden,male,Some other race,"Less than $49,999",new jersey,20,0
Joe Biden,male,White,"$100,000 to $149,999",new york,58,0
Donald Trump,female,"Black, or African American","$50,000 to $99,999",massachusetts,67,1
Donald Trump,female,White,"Less than $49,999",florida,31,1
